         1780628 function calls in 17.375 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      428    0.001    0.000    0.001    0.000 /usr/lib/python3.10/asyncio/events.py:661(set_event_loop)
      856    0.001    0.000    0.001    0.000 {built-in method sys.set_asyncgen_hooks}
      854    0.001    0.000    0.025    0.000 <__array_function__ internals>:177(mean)
      428    0.001    0.000    0.003    0.000 /usr/lib/python3.10/asyncio/events.py:776(set_event_loop)
     1712    0.001    0.000    0.001    0.000 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/transport.py:983(unpack_double_t)
      428    0.001    0.000    0.019    0.000 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/pimu.py:881(unpack_status)
      428    0.001    0.000    0.018    0.000 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/pimu.py:871(unpack_status)
     2140    0.001    0.000    0.001    0.000 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/transport.py:971(unpack_uint16_t)
      856    0.001    0.000    0.001    0.000 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/arm.py:19(motor_rad_to_translate_m)
      856    0.001    0.000    0.001    0.000 /usr/lib/python3.10/asyncio/base_events.py:582(_check_running)
      856    0.001    0.000    0.001    0.000 {built-in method _asyncio._set_running_loop}
     2140    0.001    0.000    0.001    0.000 /usr/lib/python3.10/asyncio/coroutines.py:177(iscoroutine)
      428    0.001    0.000    0.020    0.000 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/pimu.py:555(rpc_status_reply)
      856    0.001    0.000    0.001    0.000 /usr/lib/python3.10/asyncio/events.py:645(get_event_loop)
      856    0.001    0.000    0.001    0.000 /usr/lib/python3.10/asyncio/base_events.py:1912(_set_coroutine_origin_tracking)
     2604    0.001    0.000    0.001    0.000 {method 'release' of '_thread.lock' objects}
     1712    0.001    0.000    0.001    0.000 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/stepper.py:1334(get_voltage)
       89    0.001    0.000    0.001    0.000 /usr/lib/python3.10/logging/__init__.py:283(__init__)
     2578    0.001    0.000    0.001    0.000 {built-in method builtins.issubclass}
      428    0.001    0.000    0.007    0.000 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/pimu.py:94(unpack_status)
      428    0.001    0.000    0.008    0.000 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/wacc.py:272(rpc_status_reply)
      428    0.001    0.000    0.001    0.000 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/hello_utils.py:255(mark_loop_end)
       17    0.000    0.000    0.000    0.000 {built-in method _thread.start_new_thread}
     1284    0.000    0.000    0.000    0.000 /usr/lib/python3.10/asyncio/events.py:736(get_event_loop_policy)
     1284    0.000    0.000    0.000    0.000 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/hello_utils.py:33(deg_to_rad)
     1289    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
      428    0.000    0.000    0.001    0.000 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/pimu.py:418(get_current)
     4280    0.000    0.000    0.000    0.000 {method 'cancelled' of '_asyncio.Task' objects}
     4280    0.000    0.000    0.000    0.000 {method 'exception' of '_asyncio.Task' objects}
     2140    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
      435    0.000    0.000    0.020    0.000 <__array_function__ internals>:177(std)
      428    0.000    0.000    0.001    0.000 {built-in method _asyncio._get_event_loop}
     2568    0.000    0.000    0.000    0.000 /usr/lib/python3.10/asyncio/base_events.py:517(_check_default_executor)
     2175    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
     2140    0.000    0.000    0.000    0.000 {method 'add_done_callback' of '_asyncio.Task' objects}
     1230    0.000    0.000    0.000    0.000 {built-in method math.sin}
      874    0.000    0.000    0.000    0.000 /usr/lib/python3.10/threading.py:553(is_set)
      428    0.000    0.000    0.000    0.000 {built-in method sys.get_asyncgen_hooks}
      654    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      854    0.000    0.000    0.000    0.000 /home/hello-robot/.local/lib/python3.10/site-packages/numpy/core/fromnumeric.py:3308(_mean_dispatcher)
      428    0.000    0.000    0.000    0.000 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/transport.py:967(unpack_int16_t)
     1230    0.000    0.000    0.000    0.000 {built-in method math.cos}
      428    0.000    0.000    0.000    0.000 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/pimu.py:412(get_temp)
      856    0.000    0.000    0.000    0.000 /usr/lib/python3.10/asyncio/base_events.py:692(is_running)
      428    0.000    0.000    0.001    0.000 /usr/lib/python3.10/asyncio/tasks.py:610(ensure_future)
     2140    0.000    0.000    0.000    0.000 {method 'result' of '_asyncio.Task' objects}
      856    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
       89    0.000    0.000    0.000    0.000 /usr/lib/python3.10/logging/__init__.py:1549(findCaller)
      856    0.000    0.000    0.000    0.000 {built-in method math.degrees}
      856    0.000    0.000    0.000    0.000 {built-in method _asyncio._get_running_loop}
       89    0.000    0.000    0.001    0.000 /usr/lib/python3.10/logging/__init__.py:665(format)
      428    0.000    0.000    0.000    0.000 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/pimu.py:432(get_current_efuse)
       89    0.000    0.000    0.000    0.000 /usr/lib/python3.10/logging/__init__.py:431(_format)
       89    0.000    0.000    0.012    0.000 /usr/lib/python3.10/logging/__init__.py:1680(callHandlers)
      428    0.000    0.000    0.000    0.000 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/pimu.py:407(get_voltage)
       89    0.000    0.000    0.013    0.000 /usr/lib/python3.10/logging/__init__.py:1600(_log)
       89    0.000    0.000    0.014    0.000 /usr/lib/python3.10/logging/__init__.py:1455(debug)
      428    0.000    0.000    0.000    0.000 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/pimu.py:441(get_current_charge)
      429    0.000    0.000    0.000    0.000 /usr/lib/python3.10/asyncio/base_events.py:651(stop)
      623    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       89    0.000    0.000    0.010    0.000 /usr/lib/python3.10/logging/__init__.py:1077(flush)
      678    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
       89    0.000    0.000    0.000    0.000 {built-in method time.localtime}
       89    0.000    0.000    0.011    0.000 /usr/lib/python3.10/logging/__init__.py:1088(emit)
       89    0.000    0.000    0.000    0.000 {built-in method time.strftime}
       89    0.000    0.000    0.011    0.000 /usr/lib/python3.10/logging/__init__.py:955(handle)
       89    0.000    0.000    0.000    0.000 /usr/lib/python3.10/genericpath.py:121(_splitext)
       89    0.000    0.000    0.000    0.000 /usr/lib/python3.10/posixpath.py:140(basename)
      435    0.000    0.000    0.000    0.000 /home/hello-robot/.local/lib/python3.10/site-packages/numpy/core/fromnumeric.py:3436(_std_dispatcher)
       36    0.000    0.000    0.002    0.000 /usr/lib/python3.10/threading.py:288(wait)
      428    0.000    0.000    0.000    0.000 {method 'remove_done_callback' of '_asyncio.Future' objects}
       89    0.000    0.000    0.000    0.000 /usr/lib/python3.10/posixpath.py:117(splitext)
       89    0.000    0.000    0.000    0.000 /usr/lib/python3.10/logging/__init__.py:597(formatTime)
       89    0.000    0.000    0.001    0.000 /usr/lib/python3.10/logging/__init__.py:1585(makeRecord)
      178    0.000    0.000    0.000    0.000 /usr/lib/python3.10/logging/__init__.py:912(acquire)
       17    0.000    0.000    0.000    0.000 /usr/lib/python3.10/threading.py:827(__init__)
       89    0.000    0.000    0.011    0.000 /usr/lib/python3.10/logging/__init__.py:1204(emit)
      178    0.000    0.000    0.000    0.000 /usr/lib/python3.10/logging/__init__.py:919(release)
       89    0.000    0.000    0.012    0.000 /usr/lib/python3.10/logging/__init__.py:1626(handle)
      106    0.000    0.000    0.000    0.000 /usr/lib/python3.10/threading.py:1430(current_thread)
      178    0.000    0.000    0.000    0.000 /usr/lib/python3.10/logging/__init__.py:806(filter)
       89    0.000    0.000    0.000    0.000 /usr/lib/python3.10/logging/__init__.py:160(<lambda>)
       89    0.000    0.000    0.000    0.000 /usr/lib/python3.10/logging/__init__.py:119(getLevelName)
      267    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      428    0.000    0.000    0.000    0.000 {method 'exception' of '_asyncio.Future' objects}
       17    0.000    0.000    0.002    0.000 /usr/lib/python3.10/threading.py:916(start)
      428    0.000    0.000    0.000    0.000 {method 'result' of '_asyncio.Future' objects}
      179    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
       89    0.000    0.000    0.001    0.000 /usr/lib/python3.10/logging/__init__.py:932(format)
       89    0.000    0.000    0.000    0.000 /usr/lib/python3.10/logging/__init__.py:423(usesTime)
       89    0.000    0.000    0.000    0.000 /usr/lib/python3.10/logging/__init__.py:649(formatMessage)
       89    0.000    0.000    0.000    0.000 /usr/lib/python3.10/logging/__init__.py:359(getMessage)
       89    0.000    0.000    0.000    0.000 /usr/lib/python3.10/threading.py:1129(name)
       89    0.000    0.000    0.000    0.000 /usr/lib/python3.10/logging/__init__.py:1724(isEnabledFor)
       89    0.000    0.000    0.000    0.000 /usr/lib/python3.10/logging/__init__.py:643(usesTime)
       89    0.000    0.000    0.000    0.000 /usr/lib/python3.10/logging/__init__.py:438(format)
       89    0.000    0.000    0.000    0.000 /usr/lib/python3.10/posixpath.py:52(normcase)
       89    0.000    0.000    0.000    0.000 {built-in method posix.getpid}
      267    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       89    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
       89    0.000    0.000    0.000    0.000 /usr/lib/python3.10/posixpath.py:41(_get_sep)
        6    0.000    0.000    0.000    0.000 {method 'send' of '_socket.socket' objects}
      178    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       17    0.000    0.000    0.002    0.000 /usr/lib/python3.10/threading.py:589(wait)
        1    0.000    0.000    0.000    0.000 {built-in method posix.cpu_count}
      179    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
       89    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/concurrent/futures/thread.py:123(__init__)
       89    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/process.py:37(current_process)
       17    0.000    0.000    0.000    0.000 /usr/lib/python3.10/threading.py:1301(_make_invoke_excepthook)
       89    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/process.py:189(name)
       89    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
       17    0.000    0.000    0.000    0.000 /usr/lib/python3.10/threading.py:545(__init__)
       36    0.000    0.000    0.000    0.000 /usr/lib/python3.10/threading.py:279(_is_owned)
       17    0.000    0.000    0.000    0.000 /usr/lib/python3.10/weakref.py:428(__setitem__)
       36    0.000    0.000    0.000    0.000 /usr/lib/python3.10/threading.py:273(_release_save)
       36    0.000    0.000    0.000    0.000 /usr/lib/python3.10/threading.py:276(_acquire_restore)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.10/asyncio/futures.py:392(_call_set_state)
       55    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.10/asyncio/selector_events.py:124(_write_to_self)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.10/asyncio/base_events.py:796(call_soon_threadsafe)
       17    0.000    0.000    0.000    0.000 /usr/lib/python3.10/threading.py:1183(daemon)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/threading.py:422(__init__)
       19    0.000    0.000    0.000    0.000 {method 'remove' of 'collections.deque' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/logging/__init__.py:219(_acquireLock)
        6    0.000    0.000    0.000    0.000 {built-in method _contextvars.copy_context}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/logging/__init__.py:228(_releaseLock)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.10/asyncio/base_events.py:682(is_closed)
